cleaned_text,predicted_sentiment
tetep padamu prabowo anak muda tangerang sumsel all in prabowo,negative
lho dri artis krna terkenal msyrkat pilih apa2 ngomong doang,negative
buku putih ndak ad falit bro ad bsar2kan ad kecilkan,neutral
mata nazwa prabowo,negative
debat terbuka nga mba najwasihab,neutral
iyah mata najwa seru anggep kayak maen bulu tangkis maen point target mba nana besok debat mata najwa setuju debat mata najwa,negative
4 16 10 maaf penjelasanya senior tua mudah lupa berfikir cepat satunya muda terbiasa bicara senior berwawasan terimakasih,positive
memilih sekedar kata2 debat ngawur udh jdi presiden saran milih pemimpin dibelakang pendukung org2 bermasalah pengusaha lupa nonton film dokumenter sexy killer pasangan capres bermasalah divideo tentukan pilihan nyoblos,negative
setuju setujuuuu,negative
mencari pemimpin munafik butuh penimpin jujur nengatakan kebodohan janji janji manisnya mencoba membully,negative
anies layak jdi presiden,negative
asn prajurit buruh lantas guru madrsah swasta digaji perjam layak kayak buruh,negative
nilai anis ges pas gubernur pengen tauu aj nii,negative
4 23 11 hmm menarik ngasih contoh amerika amerika patut dicontoh rakyatnya amerika tingkah randomnya tpi niru gaya debat amerika kayak gitu rakyat dibawa tingkah randomnya kayak rakyat amerika langsung ngasih contoh,negative
jujur sya masi bingung pilih capres tpi stelah sya menyimak debat capres skarang sya sadar capres ganjar anis pandai omon omon doang memfitnah menjatuhkan brabowo sya indonesia pimpin pemimpin hnya pandai omon omon doang kerja hasil nyata smoga brabowo kali bsa menjabat presiden melanjutkan progam2 jokowi jngan smpai serahkan kepeminpin pandai omon rusak negara,negative
2,negative
sebenernya komentar anies perihal rumah dinas benernya tutup fakta pensiunan tni hengkang rumah dinas rumah dinas dijual oknum pesiunan,neutral
02 membahas nkri 1 3 membuly menghujat sehat,negative
aniiss anis,negative
4 23 56,negative
pengen milih prabowo disatu sisi pingin lihat anis presiden tuhh kek kinerjanya,negative
setuju debat mata najwa,negative
intinya debat x ganjar mvp,neutral
nonton mewek calonnya dibantai ganjarmahfud2024 ganjarmahfudmenang ganjarmahfud,negative
nana interview gibran gibran menunjukan foto wisuda gibran ngomong foto tokoh fotonya editan knapa dikejar editan tangan dibawah ijzah orangnya tangannya 5,negative
najwa susah ngajak ngobrol nun ngajak ngobrol sabrang sabrang oke,positive
kocak njir pertahanan transparan negara manapun gada pertahanan transparan ngegank berhasil caper anis,neutral
,negative
mukanya anies sumpah sebel julid,negative
setuju,negative
rahasia negara dibongkar publik unk jabatan negara suka indonesia tidakkan pengen pangil ddk bertiga omng gini rumah tangga saksikan otak ambisi jatuhkan negara 01 03,negative
bismillahirrahmanirrahim smga prabowo subianto presiden 8 republik indonesia amiiiin allah robb,negative
1 3 teori gubernur g becus sok sokan nilai g bener kerjannya etika g tiru sekongkol membuli paslon 2,negative
bekas buruk bro duit beli mobil beli mobil bekas kondisi km,negative
bingung menentukan pilihan anies jago ngomong doang ganjar prabowo setuju cawapres kayanya prabowo,negative
penghianat kebanyakan pinter berbicara bersilat lidah cuman pinter bicara bukti,negative
kasian palestina dijadiin bahan doang sampe skrg paslon blm tindakan prabowo diem udh nyumbang palestina uang pribadinya keliatan ngmg aksi,negative
data dikepala tertuliskan diambil keputusan konsep memutuskan kecuali blank ganjar pranowo,negative
debat kerjasama ngeroasting prabowo guilani,negative
debat kelas tapos,negative
it s not about personal but about policy kebenaran kekurangan ktidakbenaran kudu diungkap melek objektif,neutral
